"date","year","month","semester","week","day_of_week","season"
"2019-01-01",2019,1,1,1,2,"Winter"
"2019-01-02",2019,1,1,1,3,"Winter"
"2019-01-03",2019,1,1,1,4,"Winter"
"2019-01-04",2019,1,1,1,5,"Winter"
"2019-01-05",2019,1,1,1,6,"Winter"
"2019-01-06",2019,1,1,1,7,"Winter"
"2019-01-07",2019,1,1,2,1,"Winter"
"2019-01-08",2019,1,1,2,2,"Winter"
"2019-01-09",2019,1,1,2,3,"Winter"
"2019-01-10",2019,1,1,2,4,"Winter"
"2019-01-11",2019,1,1,2,5,"Winter"
"2019-01-12",2019,1,1,2,6,"Winter"
"2019-01-13",2019,1,1,2,7,"Winter"
"2019-01-14",2019,1,1,3,1,"Winter"
"2019-01-15",2019,1,1,3,2,"Winter"
"2019-01-16",2019,1,1,3,3,"Winter"
"2019-01-17",2019,1,1,3,4,"Winter"
"2019-01-18",2019,1,1,3,5,"Winter"
"2019-01-19",2019,1,1,3,6,"Winter"
"2019-01-20",2019,1,1,3,7,"Winter"
"2019-01-21",2019,1,1,4,1,"Winter"
"2019-01-22",2019,1,1,4,2,"Winter"
"2019-01-23",2019,1,1,4,3,"Winter"
"2019-01-24",2019,1,1,4,4,"Winter"
"2019-01-25",2019,1,1,4,5,"Winter"
"2019-01-26",2019,1,1,4,6,"Winter"
"2019-01-27",2019,1,1,4,7,"Winter"
"2019-01-28",2019,1,1,5,1,"Winter"
"2019-01-29",2019,1,1,5,2,"Winter"
"2019-01-30",2019,1,1,5,3,"Winter"
"2019-01-31",2019,1,1,5,4,"Winter"
"2019-02-01",2019,2,1,5,5,"Winter"
"2019-02-02",2019,2,1,5,6,"Winter"
"2019-02-03",2019,2,1,5,7,"Winter"
"2019-02-04",2019,2,1,6,1,"Winter"
"2019-02-05",2019,2,1,6,2,"Winter"
"2019-02-06",2019,2,1,6,3,"Winter"
"2019-02-07",2019,2,1,6,4,"Winter"
"2019-02-08",2019,2,1,6,5,"Winter"
"2019-02-09",2019,2,1,6,6,"Winter"
"2019-02-10",2019,2,1,6,7,"Winter"
"2019-02-11",2019,2,1,7,1,"Winter"
"2019-02-12",2019,2,1,7,2,"Winter"
"2019-02-13",2019,2,1,7,3,"Winter"
"2019-02-14",2019,2,1,7,4,"Winter"
"2019-02-15",2019,2,1,7,5,"Winter"
"2019-02-16",2019,2,1,7,6,"Winter"
"2019-02-17",2019,2,1,7,7,"Winter"
"2019-02-18",2019,2,1,8,1,"Winter"
"2019-02-19",2019,2,1,8,2,"Winter"
"2019-02-20",2019,2,1,8,3,"Winter"
"2019-02-21",2019,2,1,8,4,"Winter"
"2019-02-22",2019,2,1,8,5,"Winter"
"2019-02-23",2019,2,1,8,6,"Winter"
"2019-02-24",2019,2,1,8,7,"Winter"
"2019-02-25",2019,2,1,9,1,"Winter"
"2019-02-26",2019,2,1,9,2,"Winter"
"2019-02-27",2019,2,1,9,3,"Winter"
"2019-02-28",2019,2,1,9,4,"Winter"
"2019-03-01",2019,3,1,9,5,"Spring"
"2019-03-02",2019,3,1,9,6,"Spring"
"2019-03-03",2019,3,1,9,7,"Spring"
"2019-03-04",2019,3,1,10,1,"Spring"
"2019-03-05",2019,3,1,10,2,"Spring"
"2019-03-06",2019,3,1,10,3,"Spring"
"2019-03-07",2019,3,1,10,4,"Spring"
"2019-03-08",2019,3,1,10,5,"Spring"
"2019-03-09",2019,3,1,10,6,"Spring"
"2019-03-10",2019,3,1,10,7,"Spring"
"2019-03-11",2019,3,1,11,1,"Spring"
"2019-03-12",2019,3,1,11,2,"Spring"
"2019-03-13",2019,3,1,11,3,"Spring"
"2019-03-14",2019,3,1,11,4,"Spring"
"2019-03-15",2019,3,1,11,5,"Spring"
"2019-03-16",2019,3,1,11,6,"Spring"
"2019-03-17",2019,3,1,11,7,"Spring"
"2019-03-18",2019,3,1,12,1,"Spring"
"2019-03-19",2019,3,1,12,2,"Spring"
"2019-03-20",2019,3,1,12,3,"Spring"
"2019-03-21",2019,3,1,12,4,"Spring"
"2019-03-22",2019,3,1,12,5,"Spring"
"2019-03-23",2019,3,1,12,6,"Spring"
"2019-03-24",2019,3,1,12,7,"Spring"
"2019-03-25",2019,3,1,13,1,"Spring"
"2019-03-26",2019,3,1,13,2,"Spring"
"2019-03-27",2019,3,1,13,3,"Spring"
"2019-03-28",2019,3,1,13,4,"Spring"
"2019-03-29",2019,3,1,13,5,"Spring"
"2019-03-30",2019,3,1,13,6,"Spring"
"2019-03-31",2019,3,1,13,7,"Spring"
"2019-04-01",2019,4,1,14,1,"Spring"
"2019-04-02",2019,4,1,14,2,"Spring"
"2019-04-03",2019,4,1,14,3,"Spring"
"2019-04-04",2019,4,1,14,4,"Spring"
"2019-04-05",2019,4,1,14,5,"Spring"
"2019-04-06",2019,4,1,14,6,"Spring"
"2019-04-07",2019,4,1,14,7,"Spring"
"2019-04-08",2019,4,1,15,1,"Spring"
"2019-04-09",2019,4,1,15,2,"Spring"
"2019-04-10",2019,4,1,15,3,"Spring"
"2019-04-11",2019,4,1,15,4,"Spring"
"2019-04-12",2019,4,1,15,5,"Spring"
"2019-04-13",2019,4,1,15,6,"Spring"
"2019-04-14",2019,4,1,15,7,"Spring"
"2019-04-15",2019,4,1,16,1,"Spring"
"2019-04-16",2019,4,1,16,2,"Spring"
"2019-04-17",2019,4,1,16,3,"Spring"
"2019-04-18",2019,4,1,16,4,"Spring"
"2019-04-19",2019,4,1,16,5,"Spring"
"2019-04-20",2019,4,1,16,6,"Spring"
"2019-04-21",2019,4,1,16,7,"Spring"
"2019-04-22",2019,4,1,17,1,"Spring"
"2019-04-23",2019,4,1,17,2,"Spring"
"2019-04-24",2019,4,1,17,3,"Spring"
"2019-04-25",2019,4,1,17,4,"Spring"
"2019-04-26",2019,4,1,17,5,"Spring"
"2019-04-27",2019,4,1,17,6,"Spring"
"2019-04-28",2019,4,1,17,7,"Spring"
"2019-04-29",2019,4,1,18,1,"Spring"
"2019-04-30",2019,4,1,18,2,"Spring"
"2019-05-01",2019,5,1,18,3,"Spring"
"2019-05-02",2019,5,1,18,4,"Spring"
"2019-05-03",2019,5,1,18,5,"Spring"
"2019-05-04",2019,5,1,18,6,"Spring"
"2019-05-05",2019,5,1,18,7,"Spring"
"2019-05-06",2019,5,1,19,1,"Spring"
"2019-05-07",2019,5,1,19,2,"Spring"
"2019-05-08",2019,5,1,19,3,"Spring"
"2019-05-09",2019,5,1,19,4,"Spring"
"2019-05-10",2019,5,1,19,5,"Spring"
"2019-05-11",2019,5,1,19,6,"Spring"
"2019-05-12",2019,5,1,19,7,"Spring"
"2019-05-13",2019,5,1,20,1,"Spring"
"2019-05-14",2019,5,1,20,2,"Spring"
"2019-05-15",2019,5,1,20,3,"Spring"
"2019-05-16",2019,5,1,20,4,"Spring"
"2019-05-17",2019,5,1,20,5,"Spring"
"2019-05-18",2019,5,1,20,6,"Spring"
"2019-05-19",2019,5,1,20,7,"Spring"
"2019-05-20",2019,5,1,21,1,"Spring"
"2019-05-21",2019,5,1,21,2,"Spring"
"2019-05-22",2019,5,1,21,3,"Spring"
"2019-05-23",2019,5,1,21,4,"Spring"
"2019-05-24",2019,5,1,21,5,"Spring"
"2019-05-25",2019,5,1,21,6,"Spring"
"2019-05-26",2019,5,1,21,7,"Spring"
"2019-05-27",2019,5,1,22,1,"Spring"
"2019-05-28",2019,5,1,22,2,"Spring"
"2019-05-29",2019,5,1,22,3,"Spring"
"2019-05-30",2019,5,1,22,4,"Spring"
"2019-05-31",2019,5,1,22,5,"Spring"
"2019-06-01",2019,6,1,22,6,"Summer"
"2019-06-02",2019,6,1,22,7,"Summer"
"2019-06-03",2019,6,1,23,1,"Summer"
"2019-06-04",2019,6,1,23,2,"Summer"
"2019-06-05",2019,6,1,23,3,"Summer"
"2019-06-06",2019,6,1,23,4,"Summer"
"2019-06-07",2019,6,1,23,5,"Summer"
"2019-06-08",2019,6,1,23,6,"Summer"
"2019-06-09",2019,6,1,23,7,"Summer"
"2019-06-10",2019,6,1,24,1,"Summer"
"2019-06-11",2019,6,1,24,2,"Summer"
"2019-06-12",2019,6,1,24,3,"Summer"
"2019-06-13",2019,6,1,24,4,"Summer"
"2019-06-14",2019,6,1,24,5,"Summer"
"2019-06-15",2019,6,1,24,6,"Summer"
"2019-06-16",2019,6,1,24,7,"Summer"
"2019-06-17",2019,6,1,25,1,"Summer"
"2019-06-18",2019,6,1,25,2,"Summer"
"2019-06-19",2019,6,1,25,3,"Summer"
"2019-06-20",2019,6,1,25,4,"Summer"
"2019-06-21",2019,6,1,25,5,"Summer"
"2019-06-22",2019,6,1,25,6,"Summer"
"2019-06-23",2019,6,1,25,7,"Summer"
"2019-06-24",2019,6,1,26,1,"Summer"
"2019-06-25",2019,6,1,26,2,"Summer"
"2019-06-26",2019,6,1,26,3,"Summer"
"2019-06-27",2019,6,1,26,4,"Summer"
"2019-06-28",2019,6,1,26,5,"Summer"
"2019-06-29",2019,6,1,26,6,"Summer"
"2019-06-30",2019,6,1,26,7,"Summer"
"2019-07-01",2019,7,2,27,1,"Summer"
"2019-07-02",2019,7,2,27,2,"Summer"
"2019-07-03",2019,7,2,27,3,"Summer"
"2019-07-04",2019,7,2,27,4,"Summer"
"2019-07-05",2019,7,2,27,5,"Summer"
"2019-07-06",2019,7,2,27,6,"Summer"
"2019-07-07",2019,7,2,27,7,"Summer"
"2019-07-08",2019,7,2,28,1,"Summer"
"2019-07-09",2019,7,2,28,2,"Summer"
"2019-07-10",2019,7,2,28,3,"Summer"
"2019-07-11",2019,7,2,28,4,"Summer"
"2019-07-12",2019,7,2,28,5,"Summer"
"2019-07-13",2019,7,2,28,6,"Summer"
"2019-07-14",2019,7,2,28,7,"Summer"
"2019-07-15",2019,7,2,29,1,"Summer"
"2019-07-16",2019,7,2,29,2,"Summer"
"2019-07-17",2019,7,2,29,3,"Summer"
"2019-07-18",2019,7,2,29,4,"Summer"
"2019-07-19",2019,7,2,29,5,"Summer"
"2019-07-20",2019,7,2,29,6,"Summer"
"2019-07-21",2019,7,2,29,7,"Summer"
"2019-07-22",2019,7,2,30,1,"Summer"
"2019-07-23",2019,7,2,30,2,"Summer"
"2019-07-24",2019,7,2,30,3,"Summer"
"2019-07-25",2019,7,2,30,4,"Summer"
"2019-07-26",2019,7,2,30,5,"Summer"
"2019-07-27",2019,7,2,30,6,"Summer"
"2019-07-28",2019,7,2,30,7,"Summer"
"2019-07-29",2019,7,2,31,1,"Summer"
"2019-07-30",2019,7,2,31,2,"Summer"
"2019-07-31",2019,7,2,31,3,"Summer"
"2019-08-01",2019,8,2,31,4,"Summer"
"2019-08-02",2019,8,2,31,5,"Summer"
"2019-08-03",2019,8,2,31,6,"Summer"
"2019-08-04",2019,8,2,31,7,"Summer"
"2019-08-05",2019,8,2,32,1,"Summer"
"2019-08-06",2019,8,2,32,2,"Summer"
"2019-08-07",2019,8,2,32,3,"Summer"
"2019-08-08",2019,8,2,32,4,"Summer"
"2019-08-09",2019,8,2,32,5,"Summer"
"2019-08-10",2019,8,2,32,6,"Summer"
"2019-08-11",2019,8,2,32,7,"Summer"
"2019-08-12",2019,8,2,33,1,"Summer"
"2019-08-13",2019,8,2,33,2,"Summer"
"2019-08-14",2019,8,2,33,3,"Summer"
"2019-08-15",2019,8,2,33,4,"Summer"
"2019-08-16",2019,8,2,33,5,"Summer"
"2019-08-17",2019,8,2,33,6,"Summer"
"2019-08-18",2019,8,2,33,7,"Summer"
"2019-08-19",2019,8,2,34,1,"Summer"
"2019-08-20",2019,8,2,34,2,"Summer"
"2019-08-21",2019,8,2,34,3,"Summer"
"2019-08-22",2019,8,2,34,4,"Summer"
"2019-08-23",2019,8,2,34,5,"Summer"
"2019-08-24",2019,8,2,34,6,"Summer"
"2019-08-25",2019,8,2,34,7,"Summer"
"2019-08-26",2019,8,2,35,1,"Summer"
"2019-08-27",2019,8,2,35,2,"Summer"
"2019-08-28",2019,8,2,35,3,"Summer"
"2019-08-29",2019,8,2,35,4,"Summer"
"2019-08-30",2019,8,2,35,5,"Summer"
"2019-08-31",2019,8,2,35,6,"Summer"
"2019-09-01",2019,9,2,35,7,"Fall"
"2019-09-02",2019,9,2,36,1,"Fall"
"2019-09-03",2019,9,2,36,2,"Fall"
"2019-09-04",2019,9,2,36,3,"Fall"
"2019-09-05",2019,9,2,36,4,"Fall"
"2019-09-06",2019,9,2,36,5,"Fall"
"2019-09-07",2019,9,2,36,6,"Fall"
"2019-09-08",2019,9,2,36,7,"Fall"
"2019-09-09",2019,9,2,37,1,"Fall"
"2019-09-10",2019,9,2,37,2,"Fall"
"2019-09-11",2019,9,2,37,3,"Fall"
"2019-09-12",2019,9,2,37,4,"Fall"
"2019-09-13",2019,9,2,37,5,"Fall"
"2019-09-14",2019,9,2,37,6,"Fall"
"2019-09-15",2019,9,2,37,7,"Fall"
"2019-09-16",2019,9,2,38,1,"Fall"
"2019-09-17",2019,9,2,38,2,"Fall"
"2019-09-18",2019,9,2,38,3,"Fall"
"2019-09-19",2019,9,2,38,4,"Fall"
"2019-09-20",2019,9,2,38,5,"Fall"
"2019-09-21",2019,9,2,38,6,"Fall"
"2019-09-22",2019,9,2,38,7,"Fall"
"2019-09-23",2019,9,2,39,1,"Fall"
"2019-09-24",2019,9,2,39,2,"Fall"
"2019-09-25",2019,9,2,39,3,"Fall"
"2019-09-26",2019,9,2,39,4,"Fall"
"2019-09-27",2019,9,2,39,5,"Fall"
"2019-09-28",2019,9,2,39,6,"Fall"
"2019-09-29",2019,9,2,39,7,"Fall"
"2019-09-30",2019,9,2,40,1,"Fall"
"2019-10-01",2019,10,2,40,2,"Fall"
"2019-10-02",2019,10,2,40,3,"Fall"
"2019-10-03",2019,10,2,40,4,"Fall"
"2019-10-04",2019,10,2,40,5,"Fall"
"2019-10-05",2019,10,2,40,6,"Fall"
"2019-10-06",2019,10,2,40,7,"Fall"
"2019-10-07",2019,10,2,41,1,"Fall"
"2019-10-08",2019,10,2,41,2,"Fall"
"2019-10-09",2019,10,2,41,3,"Fall"
"2019-10-10",2019,10,2,41,4,"Fall"
"2019-10-11",2019,10,2,41,5,"Fall"
"2019-10-12",2019,10,2,41,6,"Fall"
"2019-10-13",2019,10,2,41,7,"Fall"
"2019-10-14",2019,10,2,42,1,"Fall"
"2019-10-15",2019,10,2,42,2,"Fall"
"2019-10-16",2019,10,2,42,3,"Fall"
"2019-10-17",2019,10,2,42,4,"Fall"
"2019-10-18",2019,10,2,42,5,"Fall"
"2019-10-19",2019,10,2,42,6,"Fall"
"2019-10-20",2019,10,2,42,7,"Fall"
"2019-10-21",2019,10,2,43,1,"Fall"
"2019-10-22",2019,10,2,43,2,"Fall"
"2019-10-23",2019,10,2,43,3,"Fall"
"2019-10-24",2019,10,2,43,4,"Fall"
"2019-10-25",2019,10,2,43,5,"Fall"
"2019-10-26",2019,10,2,43,6,"Fall"
"2019-10-27",2019,10,2,43,7,"Fall"
"2019-10-28",2019,10,2,44,1,"Fall"
"2019-10-29",2019,10,2,44,2,"Fall"
"2019-10-30",2019,10,2,44,3,"Fall"
"2019-10-31",2019,10,2,44,4,"Fall"
"2019-11-01",2019,11,2,44,5,"Fall"
"2019-11-02",2019,11,2,44,6,"Fall"
"2019-11-03",2019,11,2,44,7,"Fall"
"2019-11-04",2019,11,2,45,1,"Fall"
"2019-11-05",2019,11,2,45,2,"Fall"
"2019-11-06",2019,11,2,45,3,"Fall"
"2019-11-07",2019,11,2,45,4,"Fall"
"2019-11-08",2019,11,2,45,5,"Fall"
"2019-11-09",2019,11,2,45,6,"Fall"
"2019-11-10",2019,11,2,45,7,"Fall"
"2019-11-11",2019,11,2,46,1,"Fall"
"2019-11-12",2019,11,2,46,2,"Fall"
"2019-11-13",2019,11,2,46,3,"Fall"
"2019-11-14",2019,11,2,46,4,"Fall"
"2019-11-15",2019,11,2,46,5,"Fall"
"2019-11-16",2019,11,2,46,6,"Fall"
"2019-11-17",2019,11,2,46,7,"Fall"
"2019-11-18",2019,11,2,47,1,"Fall"
"2019-11-19",2019,11,2,47,2,"Fall"
"2019-11-20",2019,11,2,47,3,"Fall"
"2019-11-21",2019,11,2,47,4,"Fall"
"2019-11-22",2019,11,2,47,5,"Fall"
"2019-11-23",2019,11,2,47,6,"Fall"
"2019-11-24",2019,11,2,47,7,"Fall"
"2019-11-25",2019,11,2,48,1,"Fall"
"2019-11-26",2019,11,2,48,2,"Fall"
"2019-11-27",2019,11,2,48,3,"Fall"
"2019-11-28",2019,11,2,48,4,"Fall"
"2019-11-29",2019,11,2,48,5,"Fall"
"2019-11-30",2019,11,2,48,6,"Fall"
"2019-12-01",2019,12,2,48,7,"Winter"
"2019-12-02",2019,12,2,49,1,"Winter"
"2019-12-03",2019,12,2,49,2,"Winter"
"2019-12-04",2019,12,2,49,3,"Winter"
"2019-12-05",2019,12,2,49,4,"Winter"
"2019-12-06",2019,12,2,49,5,"Winter"
"2019-12-07",2019,12,2,49,6,"Winter"
"2019-12-08",2019,12,2,49,7,"Winter"
"2019-12-09",2019,12,2,50,1,"Winter"
"2019-12-10",2019,12,2,50,2,"Winter"
"2019-12-11",2019,12,2,50,3,"Winter"
"2019-12-12",2019,12,2,50,4,"Winter"
"2019-12-13",2019,12,2,50,5,"Winter"
"2019-12-14",2019,12,2,50,6,"Winter"
"2019-12-15",2019,12,2,50,7,"Winter"
"2019-12-16",2019,12,2,51,1,"Winter"
"2019-12-17",2019,12,2,51,2,"Winter"
"2019-12-18",2019,12,2,51,3,"Winter"
"2019-12-19",2019,12,2,51,4,"Winter"
"2019-12-20",2019,12,2,51,5,"Winter"
"2019-12-21",2019,12,2,51,6,"Winter"
"2019-12-22",2019,12,2,51,7,"Winter"
"2019-12-23",2019,12,2,52,1,"Winter"
"2019-12-24",2019,12,2,52,2,"Winter"
"2019-12-25",2019,12,2,52,3,"Winter"
"2019-12-26",2019,12,2,52,4,"Winter"
"2019-12-27",2019,12,2,52,5,"Winter"
"2019-12-28",2019,12,2,52,6,"Winter"
"2019-12-29",2019,12,2,52,7,"Winter"
"2019-12-30",2019,12,2,53,1,"Winter"
"2019-12-31",2019,12,2,53,2,"Winter"
